?s	?p1	?o1
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/whow/onto/water-monitoring/SamplingPoint>
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/italia/env/onto/top/Location>
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sampling point: RE0151039UM001. Geographical coordinates: 45.40109-9.02418"@en
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punto prelievo: RE0151039UM001. Coordinate geografiche: 45.40109-9.02418"@it
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<https://w3id.org/italia/env/onto/place/hasGeometry>	<https://w3id.org/italia/lombardia/data/geometry/45.40109-9.02418>
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<https://w3id.org/italia/onto/CLVfullAddress>	V.le Lombardia
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<https://w3id.org/whow/onto/health-monitoring/isUnderResponsibility>	<https://w3id.org/italia/lombardia/data/health-agency/030321>
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<https://w3id.org/italia/env/onto/place/hasProvince>	<https://w3id.org/italia/lombardia/data/province/015>
<https://w3id.org/italia/lombardia/data/sampling-point/RE0151039UM001>	<https://w3id.org/italia/env/onto/place/hasMunicipality>	<https://w3id.org/italia/lombardia/data/city/015103>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/whow/onto/water-monitoring/SamplingPoint>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/italia/env/onto/top/Location>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sampling point: PO0150160U0002. Geographical coordinates: 45.5416487-9.4451246"@en
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punto prelievo: PO0150160U0002. Coordinate geografiche: 45.5416487-9.4451246"@it
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<https://w3id.org/italia/env/onto/place/hasGeometry>	<https://w3id.org/italia/lombardia/data/geometry/45.5416487-9.4451246>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<https://w3id.org/italia/onto/CLVfullAddress>	DONATORI SANGUE, Bellinzago Lombardo
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<https://w3id.org/whow/onto/health-monitoring/isUnderResponsibility>	<https://w3id.org/italia/lombardia/data/health-agency/030321>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<https://w3id.org/italia/env/onto/place/hasProvince>	<https://w3id.org/italia/lombardia/data/province/015>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0150160U0002>	<https://w3id.org/italia/env/onto/place/hasMunicipality>	<https://w3id.org/italia/lombardia/data/city/015016>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/whow/onto/water-monitoring/SamplingPoint>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/italia/env/onto/top/Location>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sampling point: PO0151400U0085. Geographical coordinates: 45.3638397-9.3205578"@en
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punto prelievo: PO0151400U0085. Coordinate geografiche: 45.3638397-9.3205578"@it
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<https://w3id.org/italia/env/onto/place/hasGeometry>	<https://w3id.org/italia/lombardia/data/geometry/45.3638397-9.3205578>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<https://w3id.org/italia/onto/CLVfullAddress>	via Lombardia, Melegnano
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<https://w3id.org/whow/onto/health-monitoring/isUnderResponsibility>	<https://w3id.org/italia/lombardia/data/health-agency/030321>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<https://w3id.org/italia/env/onto/place/hasProvince>	<https://w3id.org/italia/lombardia/data/province/015>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151400U0085>	<https://w3id.org/italia/env/onto/place/hasMunicipality>	<https://w3id.org/italia/lombardia/data/city/015140>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/whow/onto/water-monitoring/SamplingPoint>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/italia/env/onto/top/Location>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sampling point: PO0151139U0024. Geographical coordinates: 45.50962-8.84535"@en
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punto prelievo: PO0151139U0024. Coordinate geografiche: 45.50962-8.84535"@it
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<https://w3id.org/italia/env/onto/place/hasGeometry>	<https://w3id.org/italia/lombardia/data/geometry/45.50962-8.84535>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<https://w3id.org/italia/onto/CLVfullAddress>	Via Lombardia
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<https://w3id.org/whow/onto/health-monitoring/isUnderResponsibility>	<https://w3id.org/italia/lombardia/data/health-agency/030321>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<https://w3id.org/italia/env/onto/place/hasProvince>	<https://w3id.org/italia/lombardia/data/province/015>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151139U0024>	<https://w3id.org/italia/env/onto/place/hasMunicipality>	<https://w3id.org/italia/lombardia/data/city/015113>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/whow/onto/water-monitoring/SamplingPoint>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<https://w3id.org/italia/env/onto/top/Location>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sampling point: PO0151959U0008. Geographical coordinates: 45.39565-9.28825"@en
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punto prelievo: PO0151959U0008. Coordinate geografiche: 45.39565-9.28825"@it
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<https://w3id.org/italia/env/onto/place/hasGeometry>	<https://w3id.org/italia/lombardia/data/geometry/45.39565-9.28825>
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<https://w3id.org/italia/onto/CLVfullAddress>	via Lombardia tr, San Giuliano Milanes
<https://w3id.org/italia/lombardia/data/sampling-point/PO0151959U0008>	<https://w3id.org/whow/onto/health-monitoring/isUnderResponsibility>	<https://w3id.org/italia/lombardia/data/health-agency/030321>
