codice_ente,ente_controllore,punto_prelievo,tipologia_punto_prelievo,indirizzo_punto_prelievo,comune_punto_prelievo,codice_comune,provincia_punto_prelievo,latitudine,longitudine,location,id_campione,macro_categoria_parametro,categoria_parametro,parametro,tipo_parametro,codice_parametro,risultato,unit_misura,esito,data_referto,anno_referto,indirizzo_di_georeferenziazione,frazione_punto_prelievo,valore_testuale,unita_di_misura_testuale,segno
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","RE0150819UM001","Punti rete","Via Europa","COLOGNO MONZESE","015081","MILANO","45.51661","9.26275","POINT (9.26275 45.51661)","202008733-001","Chimico","Metalli","cromo","Normato",,"4.0","µg/l","Conforme","2020-07-30","2020","VIALE EUROPA",,"4","microgrammi per litro",
"030326","ATS DI BRESCIA","RE017188XU0005","Punti rete",,"TRAVAGLIATO","017188","BRESCIA","45.52453","10.083","POINT (10.083 45.52453)","POT67859","Chimico","Anioni","nitrati","Normato",,"47.0","mg/l","Conforme","2020-06-10","2020",,,"47","milligrammi per litro",
"030325","ATS DI BERGAMO","RE016253XU0022","Punti rete","Via Bura (Gerosa)","VAL BREMBILLA","016253","BERGAMO","45.85302","9.58","POINT (9.58 45.85302)","20LA00571","Chimico","Anioni","nitrati","Normato",,"4.0","mg/l","Conforme","2020-03-09","2020","VIA BURA","GEROSA","4","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150609U0003","Punti rete","SIRIO TRATT.","CASSINA DE' PECCHI","015060","MILANO","45.5132908","9.362589","POINT (9.362589 45.5132908)","212-2020-PREL_ACQ-1926-625773","Fisico","pH","ph","Indicatore","12408-02-5","7.4",,"Conforme","2020-02-26","2020","Via Sirio",,"7.4","unita",
"030323","ATS DELLA MONTAGNA","RE014043XU0192","Punti rete","VIA SCANDOLERA N. 34, MESE","MESE","014043","SONDRIO","46.31655929999999","9.3847428","POINT (9.3847428 46.31655929999999)","C201397","Fisico","durezza","durezza","Indicatore","20001","4",,"Non conforme","2020-05-29","2020","Via Scandolera, 34",,"4","unita",
"030325","ATS DI BERGAMO","RE016058XU0028","Punti rete","LOC. COLOGNOLA, CASAZZA","CASAZZA","016058","BERGAMO","45.74794","9.90817","POINT (9.90817 45.74794)","20LA01362","Chimico","Anioni","nitrati","Normato",,"4","mg/l","Conforme","2020-11-02","2020","LOC.COLOGNOLA,CASAZZA",,"4","milligrammi per litro",
"030326","ATS DI BRESCIA","RE017188XU0005","Punti rete",,"TRAVAGLIATO","017188","BRESCIA","45.52453","10.083","POINT (10.083 45.52453)","POT69761","Chimico","Anioni","nitrati","Normato",,"40","mg/l","Conforme","2020-08-27","2020",,,"40","milligrammi per litro",
"030326","ATS DI BRESCIA","RE017188XU0005","Punti rete",,"TRAVAGLIATO","017188","BRESCIA","45.52453","10.083","POINT (10.083 45.52453)","POT69761","Chimico","Metalli","ferro","Indicatore","7439-89-6","45","µg/l","Conforme","2020-08-27","2020",,,"45","microgrammi per litro",
"030326","ATS DI BRESCIA","RE017188XU0005","Punti rete",,"TRAVAGLIATO","017188","BRESCIA","45.52453","10.083","POINT (10.083 45.52453)","POT65944","Chimico","Anioni","nitrati","Normato",,"47","mg/l","Conforme","2020-01-27","2020",,,"47","milligrammi per litro",
"030326","ATS DI BRESCIA","RE017072XU0004","Punti rete",,"FLERO","017072","BRESCIA","45.4836","10.17924","POINT (10.17924 45.4836)","POT67264","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","473","µS/cm","Conforme","2020-04-07","2020",,,"473","microsiemens per centimetro",
"030326","ATS DI BRESCIA","RE017008XU0004","Punti rete",,"AZZANO MELLA","017008","BRESCIA","45.45502","10.1159","POINT (10.1159 45.45502)","POT68037","Chimico","Anioni","solfato","Indicatore","14808-79-8","48.0","mg/l","Conforme","2020-06-15","2020",,,"48","milligrammi per litro",
"030326","ATS DI BRESCIA","RE017072XU0004","Punti rete",,"FLERO","017072","BRESCIA","45.4836","10.17924","POINT (10.17924 45.4836)","POT67621","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","481.0","µS/cm","Conforme","2020-05-19","2020",,,"481","microsiemens per centimetro",
"030326","ATS DI BRESCIA","RE017186XU0006","Punti rete",,"TORBOLE CASAGLIA","017186","BRESCIA","45.51149","10.11471","POINT (10.11471 45.51149)","POT67990","Chimico","Anioni","nitrati","Normato",,"48.0","mg/l","Conforme","2020-06-12","2020",,,"48","milligrammi per litro",
"030322","ATS DELL'INSUBRIA","RE012092XU0009","Punti rete","Via Roma","LUINO","012092","VARESE","46.021","8.7877448","POINT (8.7877448 46.021)","C201025","Fisico","residuo secco","residuo secco a 180°c","Indicatore",,"74","mg/l","Conforme","2020-05-15","2020","Via Roma",,"74","milligrammi per litro",
"030322","ATS DELL'INSUBRIA","RE013075XUR004","Punti rete","Via Borgovico, Como","COMO","013075","COMO","45.80991","9.07424","POINT (9.07424 45.80991)","C201762","Chimico","Anioni","nitrati","Normato",,"4","mg/l","Conforme","2020-06-26","2020","VIA BORGO VICO,COMO",,"4","milligrammi per litro",
"030322","ATS DELL'INSUBRIA","RE012017XU0001","Punti rete","Via Pomini","BREBBIA","012017","VARESE","45.82869","8.64956","POINT (8.64956 45.82869)","C202392","Fisico","durezza","durezza","Indicatore","20001","14",,"Conforme","2020-09-25","2020","VIA POMINI",,"14","unita",
"030322","ATS DELL'INSUBRIA","RE013075XUR002","Punti rete","Via Pola, Como","COMO","013075","COMO","45.83378","9.05916","POINT (9.05916 45.83378)","C202460","Chimico","Anioni","cloruro","Indicatore","16887-00-6","4.0","mg/l","Conforme","2020-09-25","2020","VIA POLA,COMO",,"4","milligrammi per litro",
