"s","ID","nome","starttime","endTime"
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016111-(1948-01-26)","016111","GAZZANIGA",1948-01-26,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018080-(1963-06-21)","018080","LARDIRAGO",1963-06-21,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018088-(1948-01-01)","018088","MEDE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097024-(1995-01-01)","097024","COLLE BRIANZA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017130-(1948-01-01)","017130","PADERNO FRANCIACORTA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018040-(1948-01-01)","018040","CASTELNOVETTO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017196-(1948-05-12)","017196","VEROLAVECCHIA",1948-05-12,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019114-(1948-01-01)","019114","VOLONGO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016185-(1948-01-01)","016185","RONCOLA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012133-(1950-12-24)","012133","VARESE",1950-12-24,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/013101-(1948-01-01)","013101","FIGINO SERENZA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/015007-(2015-01-01)","015007","ARCONATE",2015-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/015106-(2015-01-01)","015106","GESSATE",2015-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017036-(1948-01-01)","017036","CAPOVALLE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012005-(1948-03-31)","012005","ARSAGO SEPRIO",1948-03-31,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012014-(1948-01-01)","012014","BIANDRONNO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012038-(1948-01-01)","012038","CASCIAGO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012048-(1948-01-01)","012048","CAVARIA CON PREMEZZO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012058-(1985-03-05)","012058","CUASSO AL MONTE",1985-03-05,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012063-(1970-01-11)","012063","CUVIO",1970-01-11,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012068-(1948-01-01)","012068","FERNO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012069-(1997-07-26)","012069","FERRERA DI VARESE",1997-07-26,9999-12-31
