"bacino_idrografico","corso_d_acqua","corpo_idrico","provincia","comune","codice_comune","coord_x","coord_y","codice_stazione","data_campionamento","parametro","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Azoto nitroso","0,006","14797-65-0",,,"mg/l","N","milligrammi per litro",,"0.006","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-03-05","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-06-05","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-06-05","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-06-05","Azoto nitroso","<0,003","14797-65-0",,,"mg/l","N","milligrammi per litro","<","0.003","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-06-05","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-06-05","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
